Production (k ct),2018,2019,2020,2021,reserves,expected year
Aikhal Division,11850,10147,8110,8241,175561
Jubilee pipe,9063,7181,6209,5204,104937,2034
Aikhal underground mine,2429,2574,1640,2861,66346,2044
Komsomolskaya pipe,358,354,4,0,809,2019
Zaria pipe,0,38,257,176,3469,2031

Mirny Division,4195,3006,2354,2489,57779
International underground mine,3448,2167,1794,1945,49566,2045
Mir underground mine,30,0,0,0,0
Alluvial and technogenic deposits,718,839,560,544,8213,2032

Udachny Division,3929,5674,4963,6697,164462
Udachny underground mine,2530,3125,4143,4401,128475,2064
Zarnitsa pipe,952,763,320,31,5350,2031
Verkhne-Munskoe deposit,207,1530,499,2265,30391,2041
Alluvial deposits,240,256,0,0,246

Nyurba Division,7719,10267,8272,9979,132752
Nyurbinskaya pipe,4057,3269,2857,3969,29447,2036
Botuobinskaya pipe,1379,5530,2197,4656,76254,2037
Alluvial deposits,2283,1468,3219,1353,2037

Severalmaz,3636,4230,2787,3602,73890
Arkhangelskaya pipe,1530,2091,1563,1567,47433,2032
Karpinskogo-1 and 2 pipes,2106,2138,1225,2035,26458,2028

Almazy Anabara,5420,5161,3534,1390,23533
