Year,2018,2019,2020,2021
Total rough diamond sales (k ct),38071,33441,32050,45533
Gem-quality diamond sales (k ct),26385,24151,23759,30370
Industrial diamond sales (k ct),11687,9291,8291,15162

Average realized price ($/ct),115.9,97.9,82.7,87.3
Price for gem-quality diamonds ($/ct),163.9,133.0,109.5,128.3
Price for industrial diamonds ($/ct),7.5,6.7,6.2,5.3

Rough diamond sales ($ mln),4412,3273,2652,3977
Gem-quality diamond sales revenue ($ mln),4325,3211,2601,3897
Industrial diamond sales revenue ($ mln),87,62,51,80
Polished diamond sales ($ mln),95,65,150,192
TOTAL (ROUGH AND POLISHED) DIAMONDS SALES,4507,3338,2802,4169
